track_id,track_name,artist_name,release_year,popularity,danceability,energy,tempo,duration_ms,streams
T100037,Sky Again,Olivia Rodrigo,2021,19,0.669,0.536,161.36,316344,131596210
T100038,Heart Sound,Ed Sheeran,2021,88,0.571,0.791,175.81,281899,459283867
T100039,Dream Story,Doja Cat,2004,51,0.406,0.735,117.92,144067,349802923
T100040,Dance Again,Doja Cat,2022,57,0.555,0.286,126.24,213850,338233641
T100041,Moon Alive,Doja Cat,2022,53,0.781,0.956,158.65,264160,345608757
T100042,Fire Alone,Olivia Rodrigo,2010,91,0.801,0.374,143.96,130976,53919714
T100043,Night Paradise,Kendrick Lamar,2009,96,0.687,0.372,81.94,188712,27202959
T100044,Moon Paradise,The Weeknd,2009,25,0.551,0.559,107.78,283197,28126890
T100045,Light Tonight,Ariana Grande,2013,63,0.632,0.455,171.5,215827,342976196
T100046,Moon Again,Ed Sheeran,2006,44,0.489,0.968,77.54,232716,53696216
T100047,Heart Again,Travis Scott,2017,37,0.295,0.26,85.12,155666,304901880
T100048,Fire Forever,Post Malone,2014,11,0.489,0.439,108.08,148148,37942145
T100049,Light Again,Taylor Swift,2019,22,0.598,0.499,172.78,203184,446804313
T100050,Heart Alone,Billie Eilish,1997,50,0.649,0.585,73.66,257922,221154073
T100051,Light Forever,Billie Eilish,1999,89,0.902,0.213,140.75,234035,249160752
T100052,Dance Alive,Kendrick Lamar,2013,68,0.783,0.264,75.85,168332,121678753
T100053,Fire Story,Drake,2001,78,0.314,0.401,122.94,228955,135326725
T100054,Heart High,Drake,2015,62,0.331,0.632,124.39,282232,453805401
T100055,Moon Sound,Drake,2003,54,0.275,0.799,65.12,252626,190658262
T100056,Shadow Tonight,Taylor Swift,2001,29,0.754,0.735,174.49,230238,253054703
T100057,Night High,Ariana Grande,2012,33,0.73,0.642,156.79,176531,177012357
T100058,Heart Forever,Dua Lipa,1998,70,0.94,0.51,96.34,308468,148037781
T100059,Fire Forever,Post Malone,2019,67,0.592,0.879,75.67,180926,413477154
T100060,Sky Rhythm,Bad Bunny,2022,36,0.82,0.559,101.48,186207,136585486
T100061,Dance High,Travis Scott,2008,35,0.632,0.433,167.31,312520,435001912
T100062,Dream Tonight,Harry Styles,2012,16,0.856,0.691,75.92,215256,312809018
T100063,Sky Story,Ariana Grande,2020,51,0.741,0.74,101.92,238256,439577969
T100064,Light Paradise,Kendrick Lamar,2003,56,0.682,0.511,119.32,163437,227652474
T100065,Moon Forever,Dua Lipa,2020,62,0.624,0.222,63.95,285291,100512973
T100066,Night Alive,Travis Scott,2015,68,0.742,0.273,92.16,207233,85116884
T100067,Heart Again,Bad Bunny,1996,47,0.515,0.86,131.48,241666,203404514
T100068,Shadow Forever,Billie Eilish,2014,78,0.272,0.244,98.88,307262,43901376
T100069,Love Story,The Weeknd,2022,96,0.23,0.662,164.46,175195,310997185
T100070,Moon Paradise,Travis Scott,2009,62,0.559,0.343,172.41,277668,312800133
T100071,Light Story,Kendrick Lamar,2022,24,0.649,0.379,112.99,274594,51414493
T100072,Moon Alone,Doja Cat,2001,35,0.259,0.413,123.84,294157,185465561
T100073,Light Again,Ed Sheeran,2006,57,0.415,0.23,135.7,276823,374279552
T100074,Dance Sound,Olivia Rodrigo,2023,28,0.442,0.338,139.74,212516,489576026
T100075,Fire Story,Olivia Rodrigo,2002,18,0.622,0.707,67.59,129474,350004206
T100076,Heart Alone,Taylor Swift,2009,73,0.409,0.589,66.44,120534,490364689
T100077,Love Sound,Taylor Swift,1997,63,0.272,0.822,163.87,132040,171181017
T100078,Night Paradise,Ariana Grande,2008,60,0.324,0.248,86.38,160529,324388196
T100079,Heart Rhythm,Billie Eilish,2011,48,0.33,0.893,130.09,255738,364902096
T100080,Sky Forever,Doja Cat,1998,13,0.832,0.977,134.96,157441,178027597
T100081,Moon Again,Drake,2012,12,0.413,0.212,79.74,318770,296865917
T100082,Dance Alone,Taylor Swift,2002,73,0.736,0.955,151.39,156766,86007342
T100083,Night High,Imagine Dragons,1998,38,0.626,0.384,163.91,241305,253765146
T100084,Heart High,Ed Sheeran,1996,20,0.933,0.74,94.25,274957,93974970
T100085,Light Alive,Bad Bunny,2000,67,0.405,0.428,165.34,156460,251580313
T100086,Dream Alone,Post Malone,2016,84,0.319,0.607,69.72,277487,238083427
T100087,Light Alone,Dua Lipa,2004,36,0.239,0.598,156.06,222363,69962852
T100088,Dance Alive,Drake,1998,30,0.381,0.482,136.81,161290,209691892
T100089,Night Alone,Olivia Rodrigo,2016,48,0.713,0.76,129.97,305887,73428788
T100090,Shadow Again,Bad Bunny,2023,55,0.264,0.668,87.62,180116,287333085
T100091,Shadow Alive,Dua Lipa,2012,75,0.384,0.596,103.42,297110,483474185
T100092,Fire Rhythm,Ed Sheeran,2020,45,0.841,0.967,169.24,219831,61729672
T100093,Sky Again,The Weeknd,2006,84,0.637,0.933,115.89,300797,440710536
T100094,Moon Paradise,Post Malone,1996,91,0.252,0.945,131.33,289986,430052244
T100095,Light Again,Travis Scott,2004,74,0.236,0.887,172.3,248773,16429077
T100096,Heart Rhythm,Post Malone,1998,72,0.246,0.399,115.98,291390,495388647
T100097,Moon Alone,Bad Bunny,2008,44,0.906,0.473,106.59,221999,386434591
T100098,Heart Alive,Harry Styles,2010,40,0.837,0.38,167.18,293203,88568843
T100099,Moon Forever,Travis Scott,2009,37,0.834,0.969,169.31,163513,7481830
T100100,Love Rhythm,The Weeknd,2002,10,0.893,0.319,102.56,165139,5009278
T100101,Love Forever,Kendrick Lamar,2008,34,0.579,0.486,131.04,162381,187530997
T100102,Sky Rhythm,Olivia Rodrigo,2017,52,0.386,0.355,175.65,261495,154390851
T100103,Love Paradise,Taylor Swift,2022,93,0.501,0.374,66.66,122216,38771231
T100104,Night Again,Harry Styles,2019,76,0.739,0.393,64.78,283376,96205890
T100105,Heart Alive,Olivia Rodrigo,2002,72,0.857,0.699,121.99,191872,44073987
T100106,Moon Forever,Travis Scott,2015,60,0.526,0.259,94.95,227347,320782300
T100107,Heart Rhythm,Imagine Dragons,2010,11,0.602,0.647,129.82,135573,183050562
T100108,Sky Rhythm,Bad Bunny,2007,91,0.899,0.839,146.92,144094,139020860
T100109,Dream Forever,The Weeknd,2012,73,0.281,0.798,68.29,194907,21119831
T100110,Shadow Rhythm,Drake,2009,83,0.847,0.318,165.88,156363,227285941
T100111,Moon Alive,Ed Sheeran,2015,78,0.319,0.913,93.23,140751,374305775
T100112,Heart High,Imagine Dragons,2018,18,0.563,0.801,105.76,175008,9104677
T100113,Moon Alive,Post Malone,2020,11,0.364,0.204,100.44,249579,95228756
T100114,Dance High,Kendrick Lamar,2019,43,0.652,0.775,160.78,261123,241946263
T100115,Love Alone,Billie Eilish,2022,69,0.619,0.775,80.48,174153,327098570
T100116,Heart Alive,Ed Sheeran,2022,70,0.485,0.588,63.44,120737,297563340
T100117,Dream High,Dua Lipa,2022,40,0.847,0.236,176.62,229308,96089857
T100118,Shadow Sound,Dua Lipa,2007,19,0.695,0.652,177.68,196520,463150509
T100119,Moon Alive,Post Malone,2003,85,0.741,0.797,90.92,270274,489794338
T100120,Sky Alone,Kendrick Lamar,2023,45,0.313,0.411,61.12,264158,167371304
T100121,Light Sound,Dua Lipa,2009,94,0.862,0.72,137.51,223646,306876923
T100122,Heart Tonight,The Weeknd,2007,58,0.325,0.476,137.82,198784,473761564
T100123,Fire Again,Kendrick Lamar,1995,79,0.367,0.648,172.84,208836,133307027
T100124,Sky Alone,Ariana Grande,2019,58,0.296,0.5,95.82,279809,489225994
T100125,Night Tonight,Ed Sheeran,2001,12,0.53,0.437,82.74,161486,485498329
T100126,Love Story,Doja Cat,2003,83,0.866,0.868,133.97,284288,401749119
T100127,Sky Paradise,Ed Sheeran,2018,14,0.389,0.788,127.64,295252,299931627
T100128,Shadow Alive,Ed Sheeran,1995,99,0.48,0.469,146.13,134436,43576916
T100129,Shadow Alive,Ariana Grande,2006,70,0.835,0.539,166.22,169094,183299883
T100130,Dance Tonight,Ariana Grande,2002,94,0.663,0.74,127.17,143818,192422011
T100131,Night Story,Ariana Grande,2018,99,0.764,0.833,78.01,192233,15512046
T100132,Sky Forever,Harry Styles,2005,35,0.361,0.734,131.78,124161,185562207
T100133,Dance Tonight,Post Malone,2013,81,0.737,0.622,104.89,248349,154858442
T100134,Dance Paradise,Travis Scott,2011,14,0.371,0.944,114.33,130043,245863758
T100135,Shadow Tonight,Imagine Dragons,2002,24,0.94,0.804,175.14,242765,97209446
T100136,Dream Story,Bad Bunny,1997,25,0.62,0.29,126.59,185655,44555948
T100137,Dance Paradise,Harry Styles,1997,10,0.722,0.635,77.96,265652,465211582
T100138,Shadow Rhythm,Billie Eilish,1995,25,0.289,0.519,113.18,173636,133013201
T100139,Sky Paradise,Ariana Grande,2021,46,0.388,0.82,87.41,263646,439955046
T100140,Night Rhythm,Billie Eilish,1999,12,0.305,0.235,76.26,282863,266466847
T100141,Moon High,Drake,2004,61,0.493,0.52,145.47,249848,152573658
T100142,Light Story,Drake,2001,56,0.413,0.448,135.43,170942,73161157
T100143,Moon Again,Dua Lipa,2020,22,0.75,0.31,119.73,231009,263437258
T100144,Dream Alone,Bad Bunny,2003,89,0.282,0.495,110.79,169502,355432984
T100145,Dream Paradise,Ed Sheeran,2022,64,0.764,0.725,98.67,130394,220138145
T100146,Sky Rhythm,Ariana Grande,2001,30,0.234,0.482,70.56,240145,370574556
T100147,Shadow Story,The Weeknd,2003,75,0.352,0.652,95.91,122250,17648764
T100148,Shadow Rhythm,Harry Styles,2002,63,0.794,0.662,160.61,272516,195711193
T100149,Night Alone,Ed Sheeran,2006,36,0.757,0.658,154.04,298036,124769706
T100150,Moon Again,Ed Sheeran,1996,47,0.557,0.613,176.68,274039,148083751
T100151,Dance Alive,Imagine Dragons,1995,99,0.237,0.291,138.73,139621,230744676
T100152,Fire Rhythm,Olivia Rodrigo,2010,67,0.657,0.37,126.44,208442,54477648
T100153,Love Tonight,Kendrick Lamar,2017,71,0.505,0.824,95.53,230005,199630815
T100154,Light Alone,Kendrick Lamar,2017,55,0.437,0.592,69.22,144623,67934281
T100155,Love Tonight,Drake,2018,98,0.68,0.751,134.16,212388,491440122
T100156,Heart Again,Drake,1999,20,0.527,0.645,118.58,312212,200879920
T100157,Light Rhythm,The Weeknd,1997,81,0.269,0.23,151.09,174999,155974613
T100158,Dance Tonight,Travis Scott,2006,17,0.887,0.821,109.42,297117,13797275
T100159,Sky Story,Imagine Dragons,2002,80,0.784,0.25,178.27,216207,3327561
T100160,Love Sound,Bad Bunny,2016,73,0.242,0.936,107.71,297968,20608090
T100161,Heart Rhythm,Drake,2021,30,0.594,0.368,99.97,266088,147979553
T100162,Light Paradise,Drake,1997,81,0.263,0.6,164.52,230520,241525009
T100163,Shadow Alive,Imagine Dragons,1995,72,0.828,0.25,107.46,136321,274785199
T100164,Night Rhythm,Travis Scott,1997,94,0.66,0.898,164.51,131376,311423744
T100165,Dream Paradise,Doja Cat,1999,73,0.329,0.964,63.28,138276,361475648
T100166,Dream Tonight,Post Malone,2009,29,0.216,0.314,143.11,285578,52853859
T100167,Dream Paradise,Billie Eilish,2008,17,0.224,0.431,68.62,199392,265797220
T100168,Sky Alone,Drake,1997,67,0.581,0.212,77.79,145544,130236019
T100169,Moon High,Billie Eilish,1995,55,0.751,0.814,144.01,180504,376301941
T100170,Dream High,Post Malone,1999,40,0.291,0.443,94.77,165701,476918919
T100171,Fire Sound,Taylor Swift,2020,18,0.366,0.659,85.25,238794,205298494
T100172,Dream Rhythm,Travis Scott,2017,24,0.445,0.231,156.18,229594,374875226
T100173,Night High,The Weeknd,2008,35,0.364,0.758,173.55,155271,91257953
T100174,Heart Forever,Post Malone,2001,19,0.494,0.613,87.89,142444,316322208
T100175,Shadow Alive,Billie Eilish,2021,38,0.62,0.765,98.06,207070,390350769
T100176,Moon Rhythm,Harry Styles,2003,89,0.714,0.816,145.69,129662,490343804
T100177,Fire Story,Taylor Swift,2009,45,0.923,0.27,157.84,303723,445799913
T100178,Moon Paradise,Olivia Rodrigo,2009,93,0.898,0.651,179.9,230248,161349325
T100179,Shadow Rhythm,Taylor Swift,2020,46,0.628,0.707,92.8,264324,215011285
T100180,Love Paradise,The Weeknd,2004,95,0.751,0.603,126.79,147214,388470138
T100181,Fire Alive,Doja Cat,2022,80,0.913,0.342,76.08,286401,420210605
T100182,Dance Alive,Drake,2007,32,0.263,0.821,99.7,222798,8073219
T100183,Moon Rhythm,Billie Eilish,2013,50,0.204,0.978,65.4,136350,265988790
T100184,Heart Again,Kendrick Lamar,2001,89,0.222,0.956,85.3,139987,62647375
T100185,Moon Forever,Billie Eilish,2011,37,0.623,0.806,120.79,300610,361213709
T100186,Love Alive,Dua Lipa,2014,57,0.772,0.526,79.65,126761,316239425
T100187,Dance Sound,Billie Eilish,2023,47,0.475,0.463,166.73,144358,452354607
T100188,Night Sound,Taylor Swift,1998,40,0.609,0.253,145.24,174601,165386080
T100189,Fire Alive,Bad Bunny,1999,23,0.587,0.525,63.33,246553,429847196
T100190,Love Tonight,Billie Eilish,2017,82,0.271,0.322,165.2,210249,84994500
T100191,Heart High,Olivia Rodrigo,2001,97,0.441,0.398,177.28,123751,58144125
T100192,Fire Sound,Imagine Dragons,2007,86,0.215,0.896,120.22,256916,257160696
T100193,Night Alive,Harry Styles,2009,99,0.283,0.955,97.75,149153,86071260
T100194,Heart High,Ariana Grande,2005,38,0.809,0.94,91.62,259563,419654869
T100195,Dream Sound,Billie Eilish,2023,60,0.822,0.351,70.49,267487,333887024
T100196,Dream Again,Dua Lipa,1998,58,0.801,0.903,118.99,128733,24806128
T100197,Love High,Doja Cat,2007,52,0.745,0.31,66.02,238144,346160851
T100198,Light High,Olivia Rodrigo,2001,81,0.795,0.596,120.46,150516,460196735
T100199,Fire Again,Harry Styles,2021,96,0.703,0.702,90.31,246283,237399474
T100200,Night Tonight,Billie Eilish,2013,14,0.702,0.561,117.17,244971,138595946
T100201,Dream Alive,Imagine Dragons,2016,51,0.701,0.942,110.21,169698,443494485
T100202,Fire Again,Ariana Grande,2022,16,0.586,0.46,96.61,235671,338877833
T100203,Love Tonight,The Weeknd,1996,51,0.473,0.611,113.84,134759,77827148
T100204,Dance Rhythm,Olivia Rodrigo,2004,45,0.748,0.259,116.88,232571,448006670
T100205,Shadow High,Billie Eilish,2007,36,0.424,0.865,160.04,144955,485360976
T100206,Love Tonight,Bad Bunny,2019,67,0.607,0.522,139.89,203835,38575674
T100207,Dance Story,Travis Scott,2015,55,0.525,0.746,111.98,174206,36587115
T100208,Sky Again,Dua Lipa,2000,75,0.407,0.732,168.63,277833,13925996
T100209,Light Paradise,Doja Cat,2022,34,0.931,0.727,150.69,275182,221107887
T100210,Sky Again,Doja Cat,2022,82,0.394,0.595,69.09,132695,332379115
T100211,Fire High,Post Malone,2006,36,0.432,0.416,78.45,210296,268843801
T100212,Fire Again,Billie Eilish,2006,10,0.321,0.688,69.8,195793,284495905
T100213,Shadow Story,Post Malone,2014,96,0.817,0.95,98.26,170872,405599379
T100214,Shadow Tonight,Bad Bunny,2005,83,0.64,0.85,112.28,225082,142860853
T100215,Shadow Rhythm,Ariana Grande,2020,51,0.66,0.285,120.51,316525,249977420
T100216,Dream Forever,Billie Eilish,2017,61,0.815,0.218,162.17,152938,107898744
T100217,Sky Forever,Olivia Rodrigo,2022,34,0.457,0.589,62.15,282892,199058617
T100218,Heart Sound,Olivia Rodrigo,2019,63,0.345,0.805,111.39,259663,11529411
T100219,Dream Alive,Ed Sheeran,2001,76,0.349,0.445,109.32,168013,226496262
T100220,Heart Story,Doja Cat,1995,15,0.749,0.747,173.7,131784,236927215
T100221,Dream Rhythm,Travis Scott,1995,67,0.661,0.927,88.92,184712,330411466
T100222,Moon Alone,Imagine Dragons,2019,79,0.355,0.558,74.69,279300,76430868
T100223,Moon High,Harry Styles,2021,62,0.309,0.39,77.07,243118,394654181
T100224,Love Sound,Ariana Grande,2019,75,0.291,0.916,122.42,314058,149799112
T100225,Love Alive,Doja Cat,2014,67,0.671,0.568,106.91,144466,222594623
T100226,Dream Rhythm,Billie Eilish,2007,91,0.2,0.518,150.5,262885,407226504
T100227,Dream Paradise,Ed Sheeran,2003,96,0.214,0.476,98.78,212687,318204005
T100228,Love Sound,Olivia Rodrigo,1997,11,0.492,0.53,75.36,126620,24627960
T100229,Sky Alive,Taylor Swift,2001,85,0.719,0.725,106.43,145924,55088506
T100230,Fire Alive,Taylor Swift,2000,31,0.721,0.538,165.96,305078,159403889
T100231,Love Alive,Dua Lipa,2002,46,0.523,0.453,108.66,154857,226522049
T100232,Night Rhythm,Drake,2021,29,0.718,0.78,160.04,268011,141738833
T100233,Love Tonight,Dua Lipa,2003,33,0.591,0.358,104.58,195682,385582653
T100234,Heart Rhythm,Kendrick Lamar,1999,93,0.933,0.358,93.77,222037,423591494
T100235,Dream Story,Harry Styles,1995,74,0.322,0.743,152.98,182743,307011978
T100236,Light Forever,Harry Styles,2013,74,0.651,0.876,85.11,319883,436699703
T100237,Love Paradise,Olivia Rodrigo,2004,90,0.568,0.388,87.82,266150,319303511
T100238,Light Tonight,The Weeknd,2006,10,0.346,0.349,65.98,309218,351303664
T100239,Sky Sound,Post Malone,2018,12,0.762,0.723,82.54,225777,84954736
T100240,Dance Paradise,Taylor Swift,2009,55,0.407,0.684,105.46,288786,356012385
T100241,Heart Alone,Ariana Grande,2021,64,0.486,0.549,107.95,235684,375011727
T100242,Dance Story,Taylor Swift,2016,84,0.481,0.275,110.48,120845,65697164
T100243,Moon Sound,Travis Scott,2018,97,0.383,0.272,117.56,150678,390624162
T100244,Shadow Tonight,Taylor Swift,2003,95,0.523,0.806,128.63,257725,312288513
T100245,Shadow Forever,Post Malone,2014,73,0.555,0.552,82.73,186855,395920825
T100246,Sky Alive,Drake,2011,54,0.758,0.869,133.67,206037,438272056
T100247,Shadow Forever,Ed Sheeran,2011,35,0.774,0.648,100.39,162670,195729453
T100248,Shadow Sound,Ariana Grande,2020,86,0.319,0.683,148.08,141487,447587941
T100249,Dance Story,Billie Eilish,2014,74,0.645,0.929,126.86,199868,38293878
T100250,Shadow Alone,Ed Sheeran,2006,33,0.872,0.328,126.51,275889,452488885
T100251,Fire Alive,Olivia Rodrigo,2001,83,0.282,0.624,142.26,188426,387421328
T100252,Fire Rhythm,Doja Cat,1996,44,0.555,0.245,99.96,286465,191784557
T100253,Night Story,Imagine Dragons,1997,33,0.763,0.48,111.51,125513,419512788
T100254,Shadow Alone,Bad Bunny,2011,37,0.659,0.316,129.95,180842,87084734
T100255,Dance Story,Doja Cat,1999,89,0.275,0.347,110.59,259716,50542697
T100256,Shadow Paradise,Harry Styles,2011,25,0.497,0.929,113.31,285469,321771463
T100257,Night Tonight,Ed Sheeran,2018,68,0.58,0.676,92.7,228756,119454606
T100258,Dream Again,Drake,2011,90,0.947,0.896,94.49,238000,381202941
T100259,Moon High,Billie Eilish,2021,63,0.334,0.546,143.87,274592,357882222
T100260,Light Alone,Ariana Grande,2011,88,0.937,0.666,60.51,298584,205609526
T100261,Love Paradise,Travis Scott,1996,25,0.482,0.225,71.43,304941,213648859
T100262,Love Sound,Kendrick Lamar,1996,24,0.35,0.566,173.86,284398,117565536
T100263,Shadow Story,Harry Styles,2022,20,0.511,0.64,82.44,291910,219102689
T100264,Sky Tonight,Kendrick Lamar,2016,74,0.66,0.213,110.17,313383,406384145
T100265,Dream Forever,Ed Sheeran,2017,88,0.36,0.816,161.96,163675,60323008
T100266,Love Story,The Weeknd,1999,99,0.419,0.43,60.01,315151,241681703
T100267,Dance Story,The Weeknd,1995,77,0.841,0.553,171.02,186604,349282987
T100268,Love Tonight,Ed Sheeran,1995,52,0.949,0.618,66.42,294786,210589251
T100269,Fire Sound,Bad Bunny,2013,78,0.439,0.974,80.5,293292,70027382
T100270,Light Paradise,Billie Eilish,1996,22,0.312,0.277,63.49,130962,406894489
T100271,Dance High,Dua Lipa,2015,19,0.795,0.633,122.34,316178,381179582
T100272,Sky Again,Kendrick Lamar,2006,84,0.65,0.614,173.17,193532,113456880
T100273,Shadow Alone,Kendrick Lamar,2020,91,0.275,0.254,160.68,136833,262694695
T100274,Shadow Rhythm,Ed Sheeran,2000,50,0.91,0.694,136.77,121913,489980186
T100275,Heart Paradise,Kendrick Lamar,2017,59,0.259,0.424,82.26,294829,321394135
T100276,Moon Story,Dua Lipa,1998,96,0.669,0.281,164.35,240661,323358122
T100277,Dance Paradise,Drake,2017,80,0.518,0.339,150.57,177076,78172521
T100278,Sky Alive,Olivia Rodrigo,2005,68,0.617,0.842,92.02,289249,85731739
T100279,Dream Again,Post Malone,2018,48,0.36,0.281,156.61,171697,119729522
T100280,Shadow Paradise,Imagine Dragons,2021,12,0.716,0.564,165.26,223115,133915272
T100281,Sky Alone,Bad Bunny,2011,85,0.92,0.352,143.79,312911,408699934
T100282,Dream Story,Bad Bunny,2000,16,0.544,0.327,72.05,190863,295720548
T100283,Dance Forever,Post Malone,2018,58,0.592,0.36,178.11,150118,157241332
T100284,Shadow Alone,Travis Scott,1999,35,0.38,0.584,69.12,156229,386892747
T100285,Light Alive,Doja Cat,2014,42,0.869,0.385,138.54,258605,335051309
T100286,Sky Again,Bad Bunny,1996,57,0.928,0.275,73.26,315143,300866260
T100287,Heart High,Post Malone,2000,88,0.79,0.825,168.65,318067,252515424
T100288,Moon Alone,Travis Scott,2016,11,0.607,0.621,102.0,243800,215711949
T100289,Sky Again,Drake,2005,80,0.918,0.322,121.38,315895,148546857
T100290,Night Story,Travis Scott,2010,41,0.315,0.568,81.45,164178,300549297
T100291,Fire Tonight,Taylor Swift,2010,13,0.559,0.253,125.59,150411,240995248
T100292,Fire High,Drake,1995,29,0.603,0.653,172.66,267912,80052408
T100293,Moon Rhythm,Post Malone,2003,45,0.569,0.465,168.2,259240,411355020
T100294,Dream Tonight,Billie Eilish,2022,41,0.802,0.281,67.67,179228,101435309
T100295,Dream Tonight,Billie Eilish,2021,37,0.703,0.343,105.39,289370,469921571
T100296,Moon Alone,Olivia Rodrigo,2000,86,0.295,0.47,92.09,186180,360529084
T100297,Light Story,Ariana Grande,2010,10,0.46,0.829,117.76,196057,33031953
T100298,Dance Alone,Olivia Rodrigo,2023,69,0.454,0.336,160.05,263773,428213829
T100299,Fire High,Kendrick Lamar,1997,65,0.624,0.286,148.66,192800,490283484
T100300,Moon Tonight,Dua Lipa,2014,44,0.419,0.602,101.28,277858,457846472
T100301,Light Paradise,Harry Styles,2022,39,0.288,0.636,105.92,272394,197085772
T100302,Sky Forever,Ariana Grande,2021,63,0.69,0.27,138.51,297588,136923255
T100303,Moon Again,The Weeknd,1998,45,0.838,0.422,83.31,176515,26232313
T100304,Heart Forever,Kendrick Lamar,2013,64,0.899,0.405,72.33,206176,149268131
T100305,Night Sound,Travis Scott,2020,98,0.929,0.345,89.11,211205,396309141
T100306,Heart Sound,Ed Sheeran,1997,89,0.786,0.446,74.88,188297,463035162
T100307,Heart High,Drake,2013,67,0.305,0.229,102.24,310458,267421245
T100308,Shadow Story,Harry Styles,2014,92,0.84,0.708,172.51,177379,460841704
T100309,Dream Alive,Bad Bunny,2001,74,0.5,0.971,74.44,184816,269317113
T100310,Dream High,Harry Styles,2014,78,0.747,0.695,158.2,265373,183205593
T100311,Love Rhythm,Bad Bunny,2003,60,0.598,0.482,124.16,235157,160868014
T100312,Love Tonight,Ariana Grande,1995,31,0.821,0.721,135.95,250383,360893562
T100313,Shadow Alive,Dua Lipa,2002,97,0.519,0.646,80.41,207878,224822803
T100314,Heart High,Kendrick Lamar,2001,62,0.246,0.86,78.16,192383,145527503
T100315,Love Paradise,Ed Sheeran,2012,45,0.618,0.685,79.53,194516,290338472
T100316,Dream Paradise,Doja Cat,2002,77,0.328,0.695,140.05,136674,314953195
T100317,Sky High,Taylor Swift,1995,45,0.924,0.373,149.73,218733,219293415
T100318,Love Rhythm,Imagine Dragons,2005,61,0.595,0.524,170.43,251669,99056050
T100319,Dance Again,Billie Eilish,2022,62,0.615,0.469,107.78,288367,201223800
T100320,Love Again,Post Malone,2019,91,0.88,0.209,115.44,285397,135211148
T100321,Shadow Paradise,Imagine Dragons,2019,59,0.668,0.444,116.35,208709,237690571
T100322,Heart Alive,Taylor Swift,2012,89,0.427,0.579,92.39,304824,453173716
T100323,Sky Sound,The Weeknd,2017,50,0.422,0.668,99.39,209975,164569776
T100324,Dream Again,Dua Lipa,2004,27,0.576,0.929,161.62,284512,11889114
T100325,Fire Again,Doja Cat,1997,31,0.85,0.387,101.25,269034,78636119
